,geometry
141260,"POLYGON ((-97.009085 30.037156, -97.008883 30.043381, -97.018937 30.043988, -97.018688 30.032246, -97.018662 30.032259, -97.018379 30.032406, -97.018082 30.032559, -97.017219 30.033007, -97.016718 30.033266, -97.016341 30.033461, -97.011112 30.036168, -97.009085 30.037156))"
141261,"POLYGON ((-96.934563 30.073305, -96.934088 30.073536, -96.934038 30.07356, -96.933483 30.073829, -96.9362 30.075503, -96.934201 30.078715, -96.945298 30.08788, -96.949154 30.082429, -96.954425 30.08254, -96.954939 30.075866, -96.959825 30.074308, -96.96381 30.075309, -96.969595 30.065964, -96.963553 30.062738, -96.966563 30.057738, -96.966313 30.057859, -96.964301 30.058836, -96.964204 30.058883, -96.962233 30.059892, -96.962208 30.059904, -96.958527 30.061696, -96.951558 30.065088, -96.949311 30.066182, -96.94827 30.066688, -96.947343 30.06714, -96.945732 30.067924, -96.942803 30.06935, -96.938782 30.071308, -96.937995 30.071691, -96.937942 30.071708, -96.937908 30.071732, -96.934909 30.073142, -96.934563 30.073305))"
141262,"POLYGON ((-97.037143 30.097784, -97.036002 30.093381, -97.034045 30.086256, -97.033309 30.083578, -97.032478 30.080554, -97.032467 30.080532, -97.032465 30.080506, -97.032152 30.079368, -97.027048 30.080315, -97.026137 30.081957, -97.0209 30.087342, -97.021507 30.098046, -97.037143 30.097784))"
141263,"POLYGON ((-96.972053 30.063254, -96.975414 30.064501, -96.975415 30.064501, -96.975054 30.067929, -96.985019 30.06876, -96.985739 30.073332, -96.997984 30.073436, -96.998945 30.068033, -97.004707 30.068345, -97.013401 30.060593, -97.018806 30.060593, -97.01859 30.067515, -97.028869 30.067423, -97.02876 30.067027, -97.028634 30.066567, -97.02654 30.061193, -97.019838 30.060632, -97.01973 30.051463, -97.004386 30.051436, -97.004493 30.039394, -97.000261 30.041456, -97.000057 30.041491, -96.999468 30.041778, -96.996164 30.043388, -96.995523 30.059201, -96.995522 30.059201, -96.983634 30.059317, -96.980824 30.058943, -96.976172 30.057684, -96.974357 30.054265, -96.974357 30.054264, -96.975826 30.053269, -96.975738 30.053313, -96.971279 30.055464, -96.972511 30.054887, -96.972285 30.058836, -96.972053 30.063254))"
141264,"POLYGON ((-96.886119 30.266264, -96.889294 30.260388, -96.8824 30.254433, -96.879951 30.256627, -96.883216 30.261171, -96.882128 30.262033, -96.880767 30.266029, -96.883942 30.268379, -96.886119 30.266264))"
141265,"POLYGON ((-97.021421 30.169226, -97.020354 30.170315, -97.020451 30.177023, -97.027725 30.177191, -97.027434 30.176017, -97.026852 30.173166, -97.021421 30.169226))"
141266,"POLYGON ((-97.04684 30.176237, -97.038209 30.179171, -97.039469 30.182692, -97.047325 30.180513, -97.047907 30.179507, -97.04684 30.176237))"
141267,"POLYGON ((-96.82563 30.267365, -96.827668 30.265537, -96.824063 30.261881, -96.821947 30.264183, -96.82563 30.267365))"
141268,"POLYGON ((-96.675563 30.266492, -96.675618 30.26651, -96.675632 30.266514, -96.675879 30.266553, -96.676424 30.266751, -96.676462 30.266756, -96.676538 30.266751, -96.67662 30.266718, -96.676665 30.266679, -96.676722 30.266608, -96.676905 30.265888, -96.677057 30.265547, -96.677061 30.265517, -96.676832 30.265888, -96.67572 30.266272, -96.675166 30.266392, -96.675176 30.266393, -96.675373 30.266454, -96.675563 30.266492))"
141269,"POLYGON ((-96.395078 30.175583, -96.395449 30.177186, -96.397552 30.177079, -96.397057 30.175048, -96.395078 30.175583))"
141270,"POLYGON ((-96.47771 30.115145, -96.475785 30.111325, -96.475784 30.111325, -96.475447 30.109574, -96.474267 30.10724, -96.473255 30.105344, -96.479556 30.099142, -96.479303 30.096005, -96.475748 30.093525, -96.475495 30.07806, -96.471785 30.074777, -96.471505 30.074931, -96.468514 30.072343, -96.468244 30.072173, -96.464412 30.072705, -96.462456 30.072976, -96.46236 30.07299, -96.461483 30.073107, -96.461455 30.073111, -96.461342 30.073126, -96.461202 30.073145, -96.461143 30.073153, -96.461044 30.073166, -96.460887 30.073187, -96.460248 30.073272, -96.459319 30.073396, -96.45477 30.074003, -96.453861 30.074124, -96.448361 30.07486, -96.448338 30.074863, -96.44598 30.075178, -96.444598 30.075363, -96.4432 30.07555, -96.443078 30.075566, -96.439195 30.078392, -96.438418 30.080744, -96.441913 30.084944, -96.440503 30.093216, -96.434773 30.093452, -96.430727 30.093088, -96.426933 30.093088, -96.425584 30.094401, -96.42626 30.106944, -96.424995 30.10884, -96.417323 30.104974, -96.41454 30.107673, -96.409397 30.104391, -96.409735 30.101765, -96.406447 30.098847, -96.400039 30.099504, -96.399449 30.105922, -96.399449 30.105923, -96.395824 30.109059, -96.39321 30.110955, -96.399516 30.118415, -96.399577 30.130407, -96.4059 30.135511, -96.405745 30.141201, -96.419403 30.14142, -96.420246 30.138212, -96.421089 30.137702, -96.42109 30.137702, -96.428551 30.142553, -96.439343 30.143063, -96.438163 30.145396, -96.446088 30.152249, -96.452242 30.146563, -96.450558 30.143587, -96.456291 30.138775, -96.45823 30.139795, -96.460507 30.138847, -96.460854 30.129284, -96.460854 30.129283, -96.47771 30.115145))"
141271,"POLYGON ((-96.274434 30.297841, -96.269365 30.297476, -96.268379 30.309026, -96.274856 30.309269, -96.274856 30.307081, -96.272181 30.30623, -96.272462 30.303677, -96.274716 30.301974, -96.274434 30.297841))"
141272,"POLYGON ((-96.346066 30.314203, -96.343291 30.313879, -96.343291 30.316211, -96.345766 30.316729, -96.346066 30.314203))"
141273,"POLYGON ((-96.278479 30.363011, -96.280026 30.363846, -96.283895 30.364012, -96.287763 30.36493, -96.289214 30.366599, -96.290568 30.369437, -96.307045 30.367853, -96.306175 30.356003, -96.307916 30.354667, -96.321404 30.365261, -96.322233 30.365148, -96.324748 30.362394, -96.318655 30.35722, -96.323007 30.353214, -96.31262 30.324616, -96.3073 30.326202, -96.308171 30.333131, -96.288827 30.339559, -96.270258 30.343315, -96.272966 30.352579, -96.278188 30.356001, -96.278189 30.356001, -96.277318 30.359923, -96.278479 30.363011))"
141274,"POLYGON ((-96.359669 30.340924, -96.36255 30.340816, -96.362174 30.349356, -96.365556 30.350653, -96.366934 30.354544, -96.361024 30.356351, -96.362152 30.36035, -96.354887 30.362728, -96.357141 30.36932, -96.359672 30.369152, -96.360511 30.367844, -96.360795 30.367641, -96.361045 30.367514, -96.361625 30.367334, -96.362646 30.367219, -96.363135 30.367239, -96.363317 30.367158, -96.363691 30.367147, -96.366669 30.366388, -96.366777 30.36625, -96.36701 30.366107, -96.367378 30.365724, -96.367624 30.365535, -96.368767 30.365197, -96.36919 30.365072, -96.369685 30.364753, -96.369966 30.364494, -96.370108 30.36428, -96.370117 30.363995, -96.370074 30.363894, -96.369951 30.363802, -96.369385 30.36373, -96.369058 30.363591, -96.368718 30.363234, -96.368298 30.363008, -96.368231 30.362917, -96.368255 30.36278, -96.368608 30.362537, -96.369007 30.362446, -96.369293 30.36244, -96.370461 30.362784, -96.37079 30.36281, -96.371155 30.362759, -96.371358 30.362791, -96.371812 30.362622, -96.372184 30.362634, -96.372631 30.362819, -96.373633 30.363433, -96.374149 30.363556, -96.37489 30.363571, -96.375111 30.363478, -96.375299 30.363338, -96.375684 30.362706, -96.375699 30.362638, -96.375724 30.362524, -96.375776 30.362285, -96.375753 30.362072, -96.375606 30.361952, -96.375587 30.361947, -96.375058 30.361805, -96.374777 30.361547, -96.374749 30.361337, -96.375111 30.360255, -96.375075 30.360114, -96.375048 30.360062, -96.375047 30.360003, -96.374999 30.359816, -96.375002 30.359452, -96.374949 30.359208, -96.374897 30.358972, -96.374963 30.358264, -96.375061 30.358152, -96.375289 30.358063, -96.375524 30.35808, -96.376004 30.35818, -96.376374 30.358405, -96.376834 30.358567, -96.377041 30.358571, -96.377314 30.358492, -96.37762 30.358253, -96.377766 30.358039, -96.377799 30.357791, -96.377717 30.357551, -96.377344 30.35717, -96.377251 30.356898, -96.377261 30.356044, -96.377308 30.355908, -96.377432 30.355812, -96.377966 30.355624, -96.378243 30.355693, -96.378548 30.355877, -96.378654 30.355984, -96.378787 30.35636, -96.378992 30.356623, -96.379217 30.356778, -96.379519 30.356893, -96.379807 30.35688, -96.38008 30.356802, -96.380282 30.356623, -96.380677 30.356123, -96.380891 30.356013, -96.381139 30.355984, -96.381277 30.356241, -96.3813 30.35667, -96.381357 30.35684, -96.381611 30.357325, -96.381866 30.3576, -96.382091 30.357756, -96.382697 30.357971, -96.382969 30.35813, -96.383651 30.35827, -96.384062 30.358233, -96.384252 30.358164, -96.384639 30.357459, -96.385078 30.357137, -96.386389 30.356806, -96.388222 30.356518, -96.389151 30.356331, -96.390555 30.355917, -96.391669 30.355643, -96.391945 30.35562, -96.391899 30.355529, -96.391899 30.355528, -96.3919 30.355528, -96.393271 30.355371, -96.394917 30.355055, -96.397385 30.353714, -96.398116 30.353477, -96.398117 30.353477, -96.39842 30.353608, -96.39855 30.353629, -96.399143 30.35392, -96.399396 30.354029, -96.401013 30.353611, -96.401111 30.353482, -96.401615 30.35296, -96.402138 30.352554, -96.402422 30.352409, -96.402875 30.352386, -96.402973 30.352409, -96.403509 30.352058, -96.40163 30.343302, -96.396369 30.338654, -96.383969 30.338222, -96.380712 30.330762, -96.363051 30.335195, -96.362925 30.332816, -96.356162 30.33433, -96.359669 30.340924))"
141275,"POLYGON ((-96.439498 30.267563, -96.440829 30.262904, -96.436275 30.26133, -96.436123 30.261484, -96.433495 30.260695, -96.430297 30.261545, -96.430296 30.261545, -96.429888 30.259693, -96.43299 30.258124, -96.434321 30.256611, -96.434321 30.253464, -96.427806 30.253767, -96.425284 30.256006, -96.425704 30.258729, -96.42571 30.258734, -96.425376 30.261332, -96.428082 30.26282, -96.428697 30.26707, -96.43042 30.268558, -96.438293 30.269195, -96.43922 30.267667, -96.439498 30.267563))"
141277,"POLYGON ((-96.421358 30.206704, -96.421696 30.197351, -96.425801 30.194686, -96.425802 30.194686, -96.429522 30.19644, -96.429409 30.199168, -96.433016 30.198973, -96.434955 30.197272, -96.446076 30.195136, -96.441751 30.190064, -96.436963 30.190598, -96.434029 30.187794, -96.438817 30.184056, -96.438662 30.181786, -96.430476 30.181252, -96.430013 30.177647, -96.427851 30.175645, -96.414105 30.186459, -96.415341 30.189396, -96.417812 30.188862, -96.418429 30.187527, -96.420437 30.187527, -96.421055 30.189396, -96.418893 30.189797, -96.416885 30.190197, -96.411326 30.197859, -96.402396 30.197634, -96.402571 30.202171, -96.396185 30.202246, -96.396273 30.207841, -96.399422 30.207841, -96.401696 30.20905, -96.401998 30.209701, -96.401997 30.209701, -96.38347 30.209701, -96.383879 30.185748, -96.386296 30.184457, -96.387285 30.18157, -96.387533 30.179325, -96.386172 30.178683, -96.383698 30.177507, -96.381967 30.176973, -96.363289 30.183709, -96.361434 30.18713, -96.356981 30.188627, -96.35661 30.191407, -96.357723 30.193866, -96.362748 30.194517, -96.366212 30.195479, -96.36918 30.199649, -96.372149 30.202642, -96.372813 30.203476, -96.372812 30.203476, -96.364896 30.204331, -96.364154 30.208286, -96.363813 30.211832, -96.349333 30.211894, -96.34983 30.226115, -96.352505 30.231862, -96.34983 30.23661, -96.342383 30.240608, -96.342342 30.249854, -96.338238 30.251522, -96.336668 30.234419, -96.332926 30.232959, -96.326287 30.233689, -96.326408 30.250792, -96.333168 30.254546, -96.331719 30.258092, -96.33015 30.262158, -96.329914 30.263428, -96.312652 30.263637, -96.312535 30.267178, -96.319295 30.266865, -96.31894 30.275815, -96.306507 30.275919, -96.306472 30.283839, -96.315043 30.284986, -96.31456 30.287905, -96.316975 30.290198, -96.321562 30.285194, -96.324942 30.279357, -96.325545 30.278106, -96.330253 30.279357, -96.331625 30.289544, -96.334764 30.292254, -96.336695 30.29955, -96.346835 30.297361, -96.346835 30.293609, -96.356251 30.292358, -96.360838 30.294859, -96.364504 30.295442, -96.36897 30.298673, -96.369091 30.300445, -96.371143 30.303155, -96.374161 30.302529, -96.375006 30.303363, -96.379224 30.300301, -96.390209 30.30843, -96.393348 30.305512, -96.394712 30.304624, -96.36334 30.279556, -96.360109 30.279678, -96.357459 30.279193, -96.35778 30.275378, -96.35762 30.273125, -96.354207 30.272639, -96.353406 30.271289, -96.353405 30.271289, -96.353735 30.263691, -96.356438 30.261353, -96.36499 30.262793, -96.372067 30.251586, -96.386125 30.25151, -96.38691 30.238244, -96.386911 30.238244, -96.392989 30.238325, -96.400048 30.243576, -96.400246 30.247598, -96.413412 30.247496, -96.412786 30.240238, -96.408087 30.239389, -96.408618 30.229213, -96.408614 30.229093, -96.421431 30.229313, -96.4216 30.217568, -96.427671 30.218102, -96.427558 30.209724, -96.42598 30.208847, -96.422485 30.207386, -96.421358 30.206704))"
