,geometry
138971,"POLYGON ((-97.571914 29.203884, -97.573445 29.203884, -97.578743 29.198437, -97.583655 29.19956, -97.584945 29.197589, -97.584945 29.197588, -97.587768 29.197588, -97.58922 29.192801, -97.587526 29.192238, -97.589865 29.188647, -97.587929 29.187379, -97.587687 29.187661, -97.566008 29.177258, -97.561895 29.176976, -97.556168 29.176624, -97.556007 29.178525, -97.56254 29.184792, -97.563508 29.185496, -97.562379 29.187468, -97.56012 29.187046, -97.554152 29.197396, -97.548103 29.195002, -97.543748 29.20338, -97.551087 29.206126, -97.553265 29.204154, -97.56746 29.211053, -97.571914 29.203884))"
138972,"POLYGON ((-97.648513 29.216405, -97.648222 29.220271, -97.654104 29.222172, -97.659914 29.213553, -97.657154 29.211334, -97.653015 29.209686, -97.652506 29.20601, -97.643212 29.202207, -97.639944 29.208228, -97.64677 29.211588, -97.647206 29.215644, -97.648513 29.216405))"
138973,"POLYGON ((-97.909659 28.86482, -97.909192 28.872209, -97.922645 28.872719, -97.93081 28.865637, -97.93081 28.865399, -97.909659 28.86482))"
138974,"POLYGON ((-97.790687 28.893755, -97.789932 28.892574, -97.777261 28.904376, -97.781898 28.908011, -97.786266 28.902677, -97.788692 28.900363, -97.790525 28.898192, -97.790903 28.896209, -97.790687 28.893755))"
138975,"POLYGON ((-97.847467 28.890561, -97.85584 28.88286, -97.851807 28.879261, -97.842858 28.887232, -97.847467 28.890561))"
141020,"POLYGON ((-96.388519 30.557659, -96.386461 30.555517, -96.384231 30.554262, -96.381098 30.554262, -96.379882 30.552013, -96.378848 30.550551, -96.37811 30.548325, -96.376485 30.548579, -96.377741 30.556782, -96.379217 30.563077, -96.38896 30.561858, -96.388887 30.559887, -96.388799 30.559705, -96.388519 30.557659))"
141021,"POLYGON ((-96.161736 30.569699, -96.16175 30.570152, -96.162032 30.569452, -96.16188 30.569525, -96.161736 30.569699))"
141022,"POLYGON ((-96.160914 30.56665, -96.160302 30.566743, -96.160072 30.566826, -96.159864 30.566998, -96.159774 30.56716, -96.159764 30.567302, -96.159915 30.567555, -96.160127 30.567774, -96.160816 30.568173, -96.161118 30.568292, -96.16121 30.566498, -96.160914 30.56665))"
141023,"POLYGON ((-96.323586 30.71868, -96.327235 30.714569, -96.32346 30.711108, -96.318679 30.715651, -96.323586 30.71868))"
141024,"POLYGON ((-96.318609 30.768802, -96.313926 30.763909, -96.306763 30.761384, -96.311538 30.755465, -96.308232 30.752545, -96.304099 30.755623, -96.298865 30.756096, -96.298589 30.765645, -96.30961 30.777087, -96.314477 30.774483, -96.318609 30.768802))"
141025,"POLYGON ((-96.228572 30.724876, -96.231879 30.726369, -96.239982 30.731344, -96.245026 30.726227, -96.239073 30.722957, -96.240313 30.720967, -96.233946 30.716417, -96.226753 30.722388, -96.228572 30.724876))"
141026,"POLYGON ((-96.273159 30.708362, -96.27658 30.710988, -96.281223 30.707259, -96.280489 30.705998, -96.280612 30.70395, -96.276824 30.702847, -96.273098 30.704108, -96.273159 30.708362))"
